,_step,global_step,eval/rollout/episode_length,eval/rollout/episode_return,eval/grid/mean_td_error,eval/barrier/coverage,eval/barrier/validity_alpha_0.9,eval/constrain/mean_episode_length,run_id,exp_name,seed
83,88290,850000.0,500.0,500.0,0.6377918720245361,0.054499998688697815,0.9937000274658203,11.100000381469727,bfvarbwb,bump_supervised_base_2M,5
84,89310,860000.0,500.0,500.0,0.6147813200950623,0.055399999022483826,0.9916999936103821,79.9000015258789,bfvarbwb,bump_supervised_base_2M,5
85,90330,870000.0,500.0,500.0,0.6516110301017761,0.05299999937415123,0.9926000237464905,157.5,bfvarbwb,bump_supervised_base_2M,5
86,91350,880000.0,500.0,500.0,0.6351071000099182,0.05389999970793724,0.991100013256073,10.699999809265137,bfvarbwb,bump_supervised_base_2M,5
87,92370,890000.0,500.0,500.0,0.5952119827270508,0.048500001430511475,0.9927999973297119,59.400001525878906,bfvarbwb,bump_supervised_base_2M,5
88,93390,900000.0,500.0,500.0,0.6265783309936523,0.052299998700618744,0.9916999936103821,59.79999923706055,bfvarbwb,bump_supervised_base_2M,5
89,94410,910000.0,500.0,500.0,0.6294620633125305,0.049300000071525574,0.9926000237464905,21.899999618530273,bfvarbwb,bump_supervised_base_2M,5
90,95431,920000.0,500.0,500.0,0.6107194423675537,0.05139999836683273,0.9911999702453613,10.399999618530273,bfvarbwb,bump_supervised_base_2M,5
91,96451,930000.0,500.0,500.0,0.6031068563461304,0.0478999987244606,0.9926000237464905,16.299999237060547,bfvarbwb,bump_supervised_base_2M,5
92,97484,940000.0,500.0,500.0,0.6697343587875366,0.05590000003576279,0.9984999895095825,500.0,bfvarbwb,bump_supervised_base_2M,5
93,98524,950000.0,500.0,500.0,0.696291983127594,0.08709999918937683,0.9941999912261963,43.20000076293945,bfvarbwb,bump_supervised_base_2M,5
94,99544,960000.0,500.0,500.0,0.6523857712745667,0.06270000338554382,0.9968000054359436,358.6000061035156,bfvarbwb,bump_supervised_base_2M,5
95,100564,970000.0,500.0,500.0,0.6065729856491089,0.05950000137090683,0.9966999888420105,378.3999938964844,bfvarbwb,bump_supervised_base_2M,5
96,101584,980000.0,500.0,500.0,0.602885901927948,0.051899999380111694,0.9961000084877014,402.5,bfvarbwb,bump_supervised_base_2M,5
97,102604,990000.0,500.0,500.0,0.576021134853363,0.054099999368190765,0.9965999722480774,402.79998779296875,bfvarbwb,bump_supervised_base_2M,5
98,103624,1000000.0,500.0,500.0,0.5716976523399353,0.05510000139474869,0.9969000220298767,500.0,bfvarbwb,bump_supervised_base_2M,5
99,104644,1010000.0,500.0,500.0,0.612273097038269,0.05270000174641609,0.9962999820709229,500.0,bfvarbwb,bump_supervised_base_2M,5
100,105664,1020000.0,500.0,500.0,0.6027476191520691,0.05079999938607216,0.9955999851226807,402.3999938964844,bfvarbwb,bump_supervised_base_2M,5
101,106684,1030000.0,500.0,500.0,0.5218087434768677,0.04910000041127205,0.9970999956130981,353.70001220703125,bfvarbwb,bump_supervised_base_2M,5
102,107704,1040000.0,500.0,500.0,0.5557560920715332,0.047600001096725464,0.9962000250816345,353.8999938964844,bfvarbwb,bump_supervised_base_2M,5
103,108724,1050000.0,500.0,500.0,0.5857242941856384,0.048500001430511475,0.9962000250816345,304.70001220703125,bfvarbwb,bump_supervised_base_2M,5
104,109744,1060000.0,500.0,500.0,0.5604112148284912,0.04650000110268593,0.9958000183105469,158.10000610351562,bfvarbwb,bump_supervised_base_2M,5
105,110764,1070000.0,500.0,500.0,0.5745850205421448,0.048900000751018524,0.9936000108718872,206.6999969482422,bfvarbwb,bump_supervised_base_2M,5
106,111784,1080000.0,500.0,500.0,0.5987199544906616,0.045499999076128006,0.9958000183105469,158.0,bfvarbwb,bump_supervised_base_2M,5
107,112804,1090000.0,500.0,500.0,0.5977171063423157,0.050999999046325684,0.9955999851226807,206.6999969482422,bfvarbwb,bump_supervised_base_2M,5
108,113824,1100000.0,500.0,500.0,0.5830897092819214,0.05420000106096268,0.9926000237464905,157.6999969482422,bfvarbwb,bump_supervised_base_2M,5
109,114844,1110000.0,500.0,500.0,0.5556392669677734,0.05290000140666962,0.9944999814033508,109.0999984741211,bfvarbwb,bump_supervised_base_2M,5
110,115864,1120000.0,500.0,500.0,0.6336206197738647,0.05559999868273735,0.9905999898910522,10.600000381469727,bfvarbwb,bump_supervised_base_2M,5
111,116886,1130000.0,500.0,500.0,0.5654398202896118,0.05920000001788139,0.9944999814033508,75.30000305175781,bfvarbwb,bump_supervised_base_2M,5
112,117908,1140000.0,500.0,500.0,0.6671781539916992,0.07500000298023224,0.9962000250816345,11.199999809265137,bfvarbwb,bump_supervised_base_2M,5
113,118928,1150000.0,500.0,500.0,0.5917993783950806,0.06750000268220901,0.9941999912261963,10.899999618530273,bfvarbwb,bump_supervised_base_2M,5
114,119948,1160000.0,500.0,500.0,0.5978273749351501,0.06620000302791595,0.9944000244140625,10.899999618530273,bfvarbwb,bump_supervised_base_2M,5
115,120968,1170000.0,500.0,500.0,0.5625096559524536,0.06710000336170197,0.9941999912261963,10.5,bfvarbwb,bump_supervised_base_2M,5
116,121988,1180000.0,500.0,500.0,0.5784897804260254,0.065700002014637,0.994700014591217,59.5,bfvarbwb,bump_supervised_base_2M,5
117,123008,1190000.0,500.0,500.0,0.5993726253509521,0.06949999928474426,0.9945999979972839,10.699999809265137,bfvarbwb,bump_supervised_base_2M,5
118,124028,1200000.0,500.0,500.0,0.6149311661720276,0.06379999965429306,0.9944999814033508,108.5999984741211,bfvarbwb,bump_supervised_base_2M,5
119,125048,1210000.0,500.0,500.0,0.6227065920829773,0.06790000200271606,0.9927999973297119,10.600000381469727,bfvarbwb,bump_supervised_base_2M,5
120,126075,1220000.0,500.0,500.0,0.6371926665306091,0.06930000334978104,0.9945999979972839,157.89999389648438,bfvarbwb,bump_supervised_base_2M,5
121,127095,1230000.0,500.0,500.0,0.6495420932769775,0.06949999928474426,0.9934999942779541,304.8999938964844,bfvarbwb,bump_supervised_base_2M,5
122,128115,1240000.0,500.0,500.0,0.6217832565307617,0.06750000268220901,0.9951000213623047,451.1000061035156,bfvarbwb,bump_supervised_base_2M,5
123,129135,1250000.0,500.0,500.0,0.6248877644538879,0.06440000236034393,0.994700014591217,353.29998779296875,bfvarbwb,bump_supervised_base_2M,5
124,130155,1260000.0,500.0,500.0,0.6604843735694885,0.06210000067949295,0.993399977684021,304.70001220703125,bfvarbwb,bump_supervised_base_2M,5
125,131175,1270000.0,500.0,500.0,0.6189882159233093,0.0625,0.9954000115394592,158.5,bfvarbwb,bump_supervised_base_2M,5
126,132195,1280000.0,500.0,500.0,0.6195644736289978,0.05700000002980232,0.996399998664856,255.89999389648438,bfvarbwb,bump_supervised_base_2M,5
127,133215,1290000.0,500.0,500.0,0.611906886100769,0.05640000104904175,0.994700014591217,255.89999389648438,bfvarbwb,bump_supervised_base_2M,5
128,134235,1300000.0,500.0,500.0,0.6064085364341736,0.05570000037550926,0.9957000017166138,157.89999389648438,bfvarbwb,bump_supervised_base_2M,5
129,135255,1310000.0,500.0,500.0,0.6116699576377869,0.051500000059604645,0.996399998664856,255.60000610351562,bfvarbwb,bump_supervised_base_2M,5
130,136275,1320000.0,500.0,500.0,0.6415541768074036,0.05310000106692314,0.9968000054359436,255.89999389648438,bfvarbwb,bump_supervised_base_2M,5
131,137295,1330000.0,500.0,500.0,0.6845394968986511,0.06400000303983688,0.9965000152587891,170.6999969482422,bfvarbwb,bump_supervised_base_2M,5
132,138315,1340000.0,500.0,500.0,0.6218960881233215,0.061900001019239426,0.9970999956130981,387.70001220703125,bfvarbwb,bump_supervised_base_2M,5
133,139335,1350000.0,500.0,500.0,0.6203210949897766,0.05739999935030937,0.9952999949455261,353.70001220703125,bfvarbwb,bump_supervised_base_2M,5
134,140355,1360000.0,500.0,500.0,0.6159802079200745,0.05400000140070915,0.9972000122070312,451.1000061035156,bfvarbwb,bump_supervised_base_2M,5
135,141375,1370000.0,500.0,500.0,0.6082816123962402,0.05469999834895134,0.9970999956130981,402.3999938964844,bfvarbwb,bump_supervised_base_2M,5
136,142395,1380000.0,500.0,500.0,0.6041927337646484,0.05559999868273735,0.9954000115394592,353.70001220703125,bfvarbwb,bump_supervised_base_2M,5
137,143415,1390000.0,500.0,500.0,0.6138729453086853,0.052799999713897705,0.9955000281333923,353.6000061035156,bfvarbwb,bump_supervised_base_2M,5
138,144436,1400000.0,500.0,500.0,0.6220376491546631,0.05180000141263008,0.9957000017166138,353.6000061035156,bfvarbwb,bump_supervised_base_2M,5
